TransactionNo,Items,DateTime,Daypart,DayType,SoldItems
1,Bread,10/30/2016 9:58,Morning,Weekend,112
2,Scandinavian,10/30/2016 10:05,Morning,Weekend,118
2,Scandinavian,10/30/2016 10:05,Morning,Weekend,132
3,Hot chocolate,10/30/2016 10:07,Morning,Weekend,129
3,Jam,10/30/2016 10:07,Morning,Weekend,121
3,Cookies,10/30/2016 10:07,Morning,Weekend,135
4,Muffin,10/30/2016 10:08,Morning,Weekend,148
5,Coffee,10/30/2016 10:13,Morning,Weekend,148
5,Pastry,10/30/2016 10:13,Morning,Weekend,136
5,Bread,10/30/2016 10:13,Morning,Weekend,119
6,Medialuna,10/30/2016 10:16,Morning,Weekend,104
6,Pastry,10/30/2016 10:16,Morning,Weekend,118
6,Muffin,10/30/2016 10:16,Morning,Weekend,115
7,Medialuna,10/30/2016 10:19,Morning,Weekend,126
7,Pastry,10/30/2016 10:19,Morning,Weekend,141
7,Coffee,10/30/2016 10:19,Morning,Weekend,135
7,Tea,10/30/2016 10:19,Morning,Weekend,125
8,Pastry,10/30/2016 10:20,Morning,Weekend,149
8,Bread,10/30/2016 10:20,Morning,Weekend,170
9,Bread,10/30/2016 10:21,Morning,Weekend,170
9,Muffin,10/30/2016 10:21,Morning,Weekend,158
10,Scandinavian,10/30/2016 10:25,Morning,Weekend,133
10,Medialuna,10/30/2016 10:25,Morning,Weekend,114
11,Bread,10/30/2016 10:27,Morning,Weekend,140
11,Medialuna,10/30/2016 10:27,Morning,Weekend,145
11,Bread,10/30/2016 10:27,Morning,Weekend,150
12,Jam,10/30/2016 10:30,Morning,Weekend,178
12,Coffee,10/30/2016 10:30,Morning,Weekend,163
12,Tartine,10/30/2016 10:30,Morning,Weekend,172
12,Pastry,10/30/2016 10:30,Morning,Weekend,178
12,Tea,10/30/2016 10:30,Morning,Weekend,199
13,Basket,10/30/2016 10:31,Morning,Weekend,199
13,Bread,10/30/2016 10:31,Morning,Weekend,184
13,Coffee,10/30/2016 10:31,Morning,Weekend,162
14,Bread,10/30/2016 10:32,Morning,Weekend,146
14,Medialuna,10/30/2016 10:32,Morning,Weekend,166
14,Pastry,10/30/2016 10:32,Morning,Weekend,171
15,Mineral water,10/30/2016 10:34,Morning,Weekend,180
15,Scandinavian,10/30/2016 10:34,Morning,Weekend,193
16,Bread,10/30/2016 10:37,Morning,Weekend,181
16,Medialuna,10/30/2016 10:37,Morning,Weekend,183
16,Coffee,10/30/2016 10:37,Morning,Weekend,218
17,Hot chocolate,10/30/2016 10:38,Morning,Weekend,230
18,Farm House,10/30/2016 10:41,Morning,Weekend,242
19,Farm House,10/30/2016 10:43,Morning,Weekend,209
19,Bread,10/30/2016 10:43,Morning,Weekend,191
20,Bread,10/30/2016 10:45,Morning,Weekend,172
20,Medialuna,10/30/2016 10:45,Morning,Weekend,194
21,Coffee,10/30/2016 10:49,Morning,Weekend,196
21,Coffee,10/30/2016 10:49,Morning,Weekend,196
21,Medialuna,10/30/2016 10:49,Morning,Weekend,236
21,Bread,10/30/2016 10:49,Morning,Weekend,235
22,Jam,10/30/2016 10:52,Morning,Weekend,229
23,Scandinavian,10/30/2016 10:53,Morning,Weekend,243
23,Muffin,10/30/2016 10:53,Morning,Weekend,264
24,Bread,10/30/2016 10:54,Morning,Weekend,272
25,Scandinavian,10/30/2016 10:55,Morning,Weekend,237
26,Fudge,10/30/2016 10:56,Morning,Weekend,211
27,Scandinavian,10/30/2016 11:02,Morning,Weekend,180
28,Coffee,10/30/2016 11:03,Morning,Weekend,201
28,Bread,10/30/2016 11:03,Morning,Weekend,204
29,Bread,10/30/2016 11:05,Morning,Weekend,188
29,Jam,10/30/2016 11:05,Morning,Weekend,235
30,Bread,10/30/2016 11:07,Morning,Weekend,227
31,Basket,10/30/2016 11:12,Morning,Weekend,234
32,Scandinavian,10/30/2016 11:16,Morning,Weekend,264
32,Muffin,10/30/2016 11:16,Morning,Weekend,302
33,Coffee,10/30/2016 11:22,Morning,Weekend,293
34,Coffee,10/30/2016 11:25,Morning,Weekend,259
34,Muffin,10/30/2016 11:25,Morning,Weekend,229
35,Muffin,10/30/2016 11:27,Morning,Weekend,203
35,Scandinavian,10/30/2016 11:27,Morning,Weekend,229
36,Tea,10/30/2016 11:33,Morning,Weekend,242
36,Bread,10/30/2016 11:33,Morning,Weekend,233
37,Coffee,10/30/2016 11:37,Morning,Weekend,267
37,Bread,10/30/2016 11:37,Morning,Weekend,269
38,Bread,10/30/2016 11:42,Morning,Weekend,270
38,Tea,10/30/2016 11:42,Morning,Weekend,315
39,Scandinavian,10/30/2016 11:44,Morning,Weekend,364
40,Juice,10/30/2016 11:55,Morning,Weekend,112
40,Tartine,10/30/2016 11:55,Morning,Weekend,118
40,Coffee,10/30/2016 11:55,Morning,Weekend,132
40,Muffin,10/30/2016 11:55,Morning,Weekend,129
41,Scandinavian,10/30/2016 11:57,Morning,Weekend,121
42,Bread,10/30/2016 11:57,Morning,Weekend,135
42,Tea,10/30/2016 11:57,Morning,Weekend,148
43,Scandinavian,10/30/2016 12:00,Afternoon,Weekend,148
43,Fudge,10/30/2016 12:00,Afternoon,Weekend,136
44,Coffee,10/30/2016 12:05,Afternoon,Weekend,119
44,Medialuna,10/30/2016 12:05,Afternoon,Weekend,104
45,Coffee,10/30/2016 12:08,Afternoon,Weekend,118
45,Hot chocolate,10/30/2016 12:08,Afternoon,Weekend,115
45,Medialuna,10/30/2016 12:08,Afternoon,Weekend,126
46,Coffee,10/30/2016 12:09,Afternoon,Weekend,141
47,Ella's Kitchen Pouches,10/30/2016 12:15,Afternoon,Weekend,135
47,Juice,10/30/2016 12:15,Afternoon,Weekend,125
47,Bread,10/30/2016 12:15,Afternoon,Weekend,149
47,Muffin,10/30/2016 12:15,Afternoon,Weekend,170
47,Jam,10/30/2016 12:15,Afternoon,Weekend,170
48,Coffee,10/30/2016 12:17,Afternoon,Weekend,158
49,Coffee,10/30/2016 12:23,Afternoon,Weekend,133
49,Coffee,10/30/2016 12:23,Afternoon,Weekend,114
49,Medialuna,10/30/2016 12:23,Afternoon,Weekend,140
50,Bread,10/30/2016 12:25,Afternoon,Weekend,145
50,Victorian Sponge,10/30/2016 12:25,Afternoon,Weekend,150
51,Bread,10/30/2016 12:26,Afternoon,Weekend,178
52,Scandinavian,10/30/2016 12:28,Afternoon,Weekend,163
54,Bread,10/30/2016 12:33,Afternoon,Weekend,172
55,Frittata,10/30/2016 12:38,Afternoon,Weekend,178
55,Coffee,10/30/2016 12:38,Afternoon,Weekend,199
55,Tea,10/30/2016 12:38,Afternoon,Weekend,199
55,Hearty & Seasonal,10/30/2016 12:38,Afternoon,Weekend,184
56,Coffee,10/30/2016 12:39,Afternoon,Weekend,162
56,Frittata,10/30/2016 12:39,Afternoon,Weekend,146
57,Scandinavian,10/30/2016 12:45,Afternoon,Weekend,166
58,Victorian Sponge,10/30/2016 12:59,Afternoon,Weekend,171
58,Hot chocolate,10/30/2016 12:59,Afternoon,Weekend,180
58,Tea,10/30/2016 12:59,Afternoon,Weekend,193
58,Soup,10/30/2016 12:59,Afternoon,Weekend,181
59,Tea,10/30/2016 13:02,Afternoon,Weekend,183
60,Cookies,10/30/2016 13:14,Afternoon,Weekend,218
60,Coffee,10/30/2016 13:14,Afternoon,Weekend,230
60,Juice,10/30/2016 13:14,Afternoon,Weekend,242
60,Coffee,10/30/2016 13:14,Afternoon,Weekend,209
61,Coffee,10/30/2016 13:15,Afternoon,Weekend,191
